name,height,weight,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,power_score,strong
skiploom,6,10,119,grass,55,45,50,45,65,80,340,0
gloom,8,86,138,grass,60,65,70,85,75,40,395,0
snover,10,505,67,grass,60,62,50,62,60,40,334,0
budew,2,12,56,grass,40,30,35,50,70,55,280,0
tropius,20,1000,161,grass,99,68,83,72,87,51,460,0
sunflora,8,85,149,grass,75,75,55,105,85,30,425,0
hoppip,4,5,50,grass,35,35,40,35,55,50,250,0
floragato,9,122,144,grass,61,80,63,60,63,83,410,0
bayleef,12,158,142,grass,60,62,80,63,80,60,405,0
dartrix,7,160,147,grass,78,75,75,70,70,52,420,0
vileplume,12,186,221,grass,75,80,85,110,90,50,490,0
poltchageist,1,11,62,grass,40,45,45,74,54,50,308,0
smoliv,3,65,52,grass,41,35,45,58,51,30,260,0
cacturne,13,774,166,grass,70,115,60,115,60,55,475,0
turtwig,4,102,64,grass,55,68,64,45,55,31,318,0
appletun,4,130,170,grass,110,85,80,100,80,30,485,0
dipplin,4,97,170,grass,80,80,110,95,80,40,485,0
bellossom,4,58,221,grass,75,80,95,90,100,50,490,0
maractus,10,280,161,grass,75,86,67,106,67,60,461,0
cottonee,3,6,56,grass,40,27,60,37,50,66,280,0
lilligant,11,163,168,grass,70,60,75,110,75,90,480,0
carnivine,14,270,159,grass,74,100,72,90,72,46,454,0
cacnea,4,513,67,grass,50,85,40,85,40,35,335,0
sinistcha,2,22,178,grass,71,60,106,121,80,70,508,0
capsakid,3,30,61,grass,50,62,40,62,40,50,304,0
snivy,6,81,62,grass,45,45,55,45,55,63,308,0
brambleghast,12,60,168,grass,55,115,70,80,70,90,480,0
quilladin,7,290,142,grass,61,78,95,56,58,57,405,0
bulbasaur,7,69,64,grass,45,49,49,65,65,45,318,0
ferroseed,6,188,61,grass,44,50,91,24,86,10,305,0
chikorita,9,64,64,grass,45,49,65,49,65,45,318,0
shiinotic,10,115,142,grass,60,45,80,90,100,30,405,0
applin,2,5,52,grass,40,40,80,40,40,20,260,0
nuzleaf,10,280,119,grass,70,70,40,60,40,60,340,0
skiddo,9,310,70,grass,66,65,48,62,57,52,350,0
tangela,10,350,87,grass,65,55,115,100,40,60,435,0
bramblin,6,6,55,grass,40,65,30,45,35,60,275,0
steenee,7,82,102,grass,52,40,48,40,48,62,290,0
weepinbell,10,64,137,grass,65,90,50,85,45,55,390,0
meganium,18,1005,236,grass,80,82,100,83,100,80,525,1
gogoat,17,910,186,grass,123,100,62,97,81,68,531,1
sceptile,17,522,239,grass,70,85,65,105,85,120,530,1
chesnaught,16,900,239,grass,88,107,122,74,75,64,530,1
brute-bonnet,12,210,285,grass,111,127,99,79,99,55,570,1
shaymin-land,2,21,270,grass,100,100,100,100,100,100,600,1
exeggutor,20,1200,186,grass,95,95,85,125,75,55,530,1
tsareena,12,214,230,grass,72,120,98,50,98,72,510,1
iron-leaves,15,1250,295,grass,90,130,88,70,108,104,590,1
kartana,3,1,257,grass,59,181,131,59,31,109,570,1
tangrowth,20,1286,187,grass,100,100,125,110,50,50,535,1
rillaboom,21,900,265,grass,100,125,90,60,70,85,530,1
oricorio-baile,6,34,167,fire,75,70,70,98,70,93,476,0
chimchar,5,62,62,fire,44,58,44,58,44,61,309,0
fuecoco,4,98,62,fire,67,45,59,63,40,36,310,0
sizzlipede,7,10,61,fire,50,65,45,50,50,45,305,0
simisear,10,280,174,fire,75,98,63,98,63,101,498,0
turtonator,20,2120,170,fire,60,78,135,91,85,36,485,0
magby,7,214,73,fire,45,75,37,70,55,83,365,0
growlithe,7,190,70,fire,55,70,45,70,50,60,350,0
vulpix,6,99,60,fire,38,41,40,50,65,65,299,0
combusken,9,195,142,fire,60,85,60,85,60,55,405,0
crocalor,10,307,144,fire,81,55,78,90,58,49,411,0
ponyta,10,300,82,fire,50,85,55,65,65,90,410,0
fennekin,4,94,61,fire,40,45,40,62,60,60,307,0
magmar,13,445,173,fire,65,95,57,100,85,93,495,0
talonflame,12,245,175,fire,78,81,71,74,69,126,499,0
ninetales,11,199,177,fire,73,76,75,81,100,100,505,0
scorbunny,3,45,62,fire,50,71,40,40,40,69,310,0
cyndaquil,5,79,62,fire,39,52,43,60,50,65,309,0
litten,4,43,64,fire,45,65,40,60,40,70,320,0
tepig,5,99,62,fire,65,63,45,45,45,45,308,0
magcargo,8,550,151,fire,60,50,120,90,80,30,430,0
entei,21,1980,261,fire,115,115,85,90,75,100,580,1
emboar,16,1500,238,fire,110,123,65,100,65,65,528,1
iron-moth,12,360,285,fire,80,70,60,140,110,110,570,1
ho-oh,38,1990,306,fire,106,130,90,110,154,90,680,1
infernape,12,550,240,fire,76,104,71,104,71,108,534,1
flareon,9,250,184,fire,65,130,60,95,110,65,525,1
gouging-fire,35,5900,295,fire,105,115,121,65,93,91,590,1
blaziken,19,520,239,fire,80,120,70,110,70,80,530,1
centiskorch,30,1200,184,fire,100,115,65,90,90,65,525,1
blacephalon,18,130,257,fire,53,127,53,151,79,107,570,1
armarouge,15,850,263,fire,85,60,100,125,80,75,525,1
mantine,21,2200,170,water,85,40,70,80,140,70,485,0
frogadier,6,109,142,water,54,63,52,83,56,97,405,0
araquanid,18,820,159,water,68,70,92,50,132,42,454,0
palpitoad,8,170,134,water,75,65,55,65,55,69,384,0
quagsire,14,750,151,water,95,85,85,65,65,35,430,0
dewpider,3,40,54,water,38,40,52,40,72,27,269,0
pelipper,12,280,154,water,60,50,100,95,70,65,440,0
arctovish,20,1750,177,water,90,90,100,80,90,55,505,0
slowpoke,12,360,63,water,90,65,65,40,40,15,315,0
slowking,20,795,172,water,95,75,80,100,110,30,490,0
poliwag,6,124,60,water,40,50,40,40,40,90,300,0
wingull,6,95,54,water,40,30,30,55,30,85,270,0
clamperl,4,525,69,water,35,64,85,74,55,32,345,0
veluza,25,900,167,water,90,102,73,78,65,70,478,0
slowbro,16,785,172,water,95,75,110,100,80,30,490,0
wooper,4,85,42,water,55,45,45,25,25,15,210,0
basculin-red-striped,10,180,161,water,70,92,65,80,55,98,460,0
drednaw,10,1155,170,water,90,115,90,48,68,74,485,0
bruxish,9,190,166,water,68,105,70,70,70,92,475,0
clawitzer,13,353,100,water,71,73,88,120,89,59,500,0
lumineon,12,240,161,water,69,69,76,69,86,91,460,0
feebas,6,74,40,water,20,15,20,10,55,80,200,0
clauncher,5,83,66,water,50,53,62,58,63,44,330,0
buizel,7,295,66,water,55,65,35,60,30,85,330,0
staryu,8,345,68,water,30,45,55,70,55,85,340,0
octillery,9,285,168,water,75,105,75,105,75,45,480,0
seaking,13,390,158,water,80,92,65,65,80,68,450,0
corsola,6,50,144,water,65,55,95,65,95,35,410,0
wugtrio,12,54,149,water,35,100,50,50,70,120,425,0
panpour,6,135,63,water,50,53,48,53,48,64,316,0
froakie,3,70,63,water,41,56,40,62,44,71,314,0
carracosta,12,810,173,water,74,108,133,83,65,32,495,0
relicanth,10,234,170,water,100,90,130,45,65,55,485,0
chewtle,3,85,57,water,50,64,50,38,38,44,284,0
barboach,4,19,58,water,50,48,43,46,41,60,288,0
wiglett,12,18,49,water,10,55,25,35,25,95,245,0
alomomola,12,316,165,water,165,75,80,40,45,65,470,0
phione,4,31,216,water,80,80,80,80,80,80,480,0
brionne,6,175,147,water,60,69,69,91,81,50,420,0
shellder,3,40,61,water,30,65,100,45,25,40,305,0
tentacool,9,455,67,water,40,40,35,50,100,70,335,0
horsea,4,80,59,water,30,40,70,70,25,60,295,0
magikarp,9,100,40,water,20,10,55,15,20,80,200,0
finizen,13,602,63,water,70,45,40,45,40,75,315,0
dewgong,17,1200,166,water,90,70,80,70,95,70,475,0
popplio,4,75,64,water,50,54,54,66,56,40,320,0
sharpedo,18,888,161,water,70,120,40,95,40,95,460,0
quaxwell,12,215,144,water,70,85,65,65,60,65,410,0
lombre,12,325,119,water,60,50,50,60,70,50,340,0
arrokuda,5,10,56,water,41,63,40,40,30,66,280,0
marill,4,85,88,water,70,20,50,20,50,40,250,0
luvdisc,6,87,116,water,43,30,55,40,65,97,330,0
keldeo-ordinary,14,485,261,water,91,72,90,129,90,108,580,1
empoleon,17,845,239,water,84,86,88,111,101,60,530,1
manaphy,3,14,270,water,100,100,100,100,100,100,600,1
feraligatr,23,888,239,water,85,105,100,79,83,78,530,1
samurott,15,946,238,water,95,100,85,108,70,70,528,1
blastoise,16,855,239,water,79,83,100,85,105,78,530,1
primarina,18,440,239,water,80,74,74,126,116,60,530,1
cloyster,15,1325,184,water,50,95,180,85,45,70,525,1
inteleon,19,452,265,water,70,85,65,125,65,120,530,1
basculegion-male,30,1100,265,water,120,112,65,80,75,78,530,1
suicune,20,1870,261,water,100,75,115,90,115,85,580,1
greninja,15,400,239,water,72,95,67,103,71,122,530,1
kingdra,18,1520,243,water,75,95,95,95,95,85,540,1
lapras,25,2200,187,water,130,85,80,85,95,60,535,1
shuckle,6,205,177,bug,20,10,230,10,230,5,505,0
spewpa,3,84,75,bug,45,22,60,27,30,29,213,0
caterpie,3,29,39,bug,45,30,35,20,20,45,195,0
illumise,6,177,151,bug,65,47,75,73,85,85,430,0
ribombee,2,5,162,bug,60,55,60,95,70,124,464,0
wurmple,3,36,56,bug,45,45,35,20,30,20,195,0
spidops,10,165,141,bug,60,79,92,52,86,35,404,0
ledian,14,356,137,bug,55,35,50,55,110,85,390,0
mothim,9,233,148,bug,70,94,50,94,50,66,424,0
kleavor,18,890,175,bug,70,135,95,45,70,85,500,0
cascoon,7,115,72,bug,50,35,55,25,25,15,205,0
scizor,18,1180,175,bug,70,130,100,55,80,65,500,0
dwebble,3,145,65,bug,50,65,85,35,35,55,325,0
crustle,14,2000,170,bug,70,105,125,65,75,45,485,0
scyther,15,560,100,bug,70,110,80,55,80,105,500,0
kricketot,3,22,39,bug,37,25,41,25,41,25,194,0
karrablast,5,59,63,bug,50,75,45,40,45,60,315,0
nymble,2,10,42,bug,33,46,40,21,25,45,210,0
lokix,10,175,158,bug,71,102,78,52,55,92,450,0
dottler,4,195,117,bug,50,35,80,50,90,30,335,0
rabsca,3,35,165,bug,75,50,85,115,100,45,470,0
shedinja,8,12,83,bug,1,90,45,30,30,40,236,0
metapod,7,99,72,bug,50,20,55,25,25,30,205,0
parasect,10,295,142,bug,60,95,80,60,80,30,405,0
silcoon,6,100,72,bug,50,35,55,25,25,15,205,0
blipbug,4,80,36,bug,25,20,20,25,45,45,180,0
ariados,11,335,140,bug,70,90,70,60,70,40,400,0
weedle,3,32,39,bug,40,35,30,20,20,50,195,0
vivillon,12,170,185,bug,80,52,50,90,50,89,411,0
burmy,2,34,45,bug,40,29,45,29,45,36,224,0
beedrill,10,295,178,bug,65,90,40,45,80,75,395,0
whirlipede,12,585,126,bug,40,55,99,40,79,47,360,0
accelgor,8,253,173,bug,80,70,40,100,60,145,495,0
kakuna,6,100,72,bug,45,25,50,25,25,35,205,0
grubbin,4,44,60,bug,47,62,45,55,45,46,300,0
venonat,10,300,61,bug,60,55,50,40,55,45,305,0
vespiquen,12,385,166,bug,70,80,102,80,102,40,474,0
trumbeak,6,148,124,normal,55,85,50,40,50,75,355,0
purugly,10,438,158,normal,71,82,64,64,59,112,452,0
tranquill,6,150,125,normal,62,77,62,50,42,65,358,0
sentret,8,60,43,normal,35,46,34,35,45,20,215,0
miltank,12,755,172,normal,95,80,105,40,70,100,490,0
herdier,9,147,130,normal,65,80,65,35,65,60,370,0
bouffalant,16,946,172,normal,95,110,95,40,95,55,490,0
bidoof,5,200,50,normal,59,45,40,35,40,31,250,0
girafarig,15,415,159,normal,70,80,65,90,65,85,455,0
pidove,3,21,53,normal,50,55,50,36,30,43,264,0
stufful,5,68,68,normal,70,75,50,45,50,50,340,0
igglybuff,3,10,42,normal,90,30,15,40,20,15,210,0
vigoroth,14,465,154,normal,80,80,80,55,55,90,440,0
starly,3,20,49,normal,40,55,30,30,30,60,245,0
toucannon,11,260,218,normal,80,120,75,75,75,60,485,0
pikipek,3,12,53,normal,35,75,30,30,30,65,265,0
swablu,4,12,62,normal,45,40,60,40,75,50,310,0
ambipom,12,203,169,normal,75,100,66,60,66,115,482,0
lillipup,4,41,55,normal,45,60,45,25,45,55,275,0
buneary,4,55,70,normal,55,66,44,44,56,85,350,0
chansey,11,346,395,normal,250,5,5,35,105,50,450,0
stantler,14,712,163,normal,73,95,62,85,65,85,465,0
dunsparce,15,140,145,normal,100,70,70,65,65,45,415,0
wigglytuff,10,120,196,normal,140,70,45,85,50,45,435,0
azurill,2,20,38,normal,50,20,40,20,40,20,190,0
pidgeot,15,395,216,normal,83,80,75,70,70,101,479,0
deerling,6,195,67,normal,60,60,50,40,50,75,335,0
maushold-family-of-four,3,23,165,normal,74,75,70,65,75,111,470,0
teddiursa,6,88,66,normal,60,80,50,50,50,40,330,0
diggersby,10,424,148,normal,85,56,77,50,77,78,423,0
pidgey,3,18,50,normal,40,45,40,35,35,56,251,0
meowth,4,42,58,normal,40,45,35,40,40,90,290,0
jigglypuff,5,55,95,normal,115,45,20,45,25,20,270,0
cinccino,5,75,165,normal,75,95,60,65,60,115,470,0
bunnelby,4,50,47,normal,38,36,38,32,36,57,237,0
raticate,7,185,145,normal,55,81,60,50,70,97,413,0
exploud,15,840,221,normal,104,91,63,91,73,68,490,0
unfezant,12,290,220,normal,80,115,80,65,55,93,488,0
ursaring,18,1258,175,normal,90,130,75,75,75,55,500,0
linoone,5,325,147,normal,78,70,61,50,61,100,420,0
terapagos,2,65,90,normal,90,65,85,65,85,60,450,0
fletchling,3,17,56,normal,45,50,43,40,38,62,278,0
dodrio,18,852,165,normal,60,110,70,60,60,110,470,0
zigzagoon,4,175,56,normal,38,30,41,30,41,60,240,0
stoutland,12,610,225,normal,85,110,90,45,90,80,500,0
spinda,11,50,126,normal,60,60,60,60,60,60,360,0
drampa,30,1850,170,normal,78,60,85,135,91,36,485,0
taillow,3,23,54,normal,40,55,30,30,30,85,270,0
bibarel,10,315,144,normal,79,85,60,55,60,71,410,0
patrat,5,116,51,normal,45,55,39,35,39,42,255,0
swalot,17,800,163,poison,100,73,83,73,83,55,467,0
salazzle,12,222,168,poison,68,64,60,111,60,117,480,0
dragalge,18,815,173,poison,65,75,90,97,123,44,494,0
koffing,6,10,68,poison,40,65,95,60,45,35,340,0
nidorina,8,200,128,poison,70,62,67,55,55,56,365,0
grafaiai,7,272,170,poison,63,95,65,80,72,110,485,0
croagunk,7,230,60,poison,48,61,40,61,40,50,300,0
weezing,12,95,172,poison,65,90,120,85,70,60,490,0
muk,12,300,175,poison,105,105,75,65,100,50,500,0
mareanie,4,80,61,poison,50,53,62,43,52,45,305,0
skrelp,5,73,64,poison,50,60,60,60,60,30,320,0
gulpin,4,103,60,poison,70,43,53,43,53,40,302,0
arbok,35,650,157,poison,60,95,69,65,79,80,448,0
toxapex,7,145,173,poison,50,63,152,53,142,35,495,0
drapion,13,615,175,poison,70,90,110,60,75,95,500,0
salandit,6,48,64,poison,48,44,40,71,40,77,320,0
toxicroak,13,444,172,poison,83,106,65,86,65,85,490,0
heliolisk,10,210,168,electric,62,55,52,109,94,109,481,0
emolga,4,50,150,electric,55,75,60,75,60,103,428,0
electabuzz,11,300,172,electric,65,83,57,95,85,105,490,0
shinx,5,95,53,electric,45,65,34,40,34,45,263,0
manectric,15,402,166,electric,70,75,60,105,60,105,475,0
pawmot,9,410,245,electric,70,115,70,70,60,105,490,0
dracozolt,18,1900,177,electric,90,100,90,80,70,75,505,0
yamper,3,135,54,electric,59,45,50,40,50,26,270,0
mareep,6,78,56,electric,55,40,40,65,45,35,280,0
togedemaru,3,33,152,electric,65,98,63,40,73,96,435,0
electrike,6,152,59,electric,40,45,40,65,40,65,295,0
pachirisu,4,39,142,electric,60,45,70,45,90,95,405,0
minun,4,42,142,electric,60,40,50,75,85,95,405,0
pichu,3,20,41,electric,20,40,15,35,35,60,205,0
morpeko-full-belly,3,30,153,electric,58,95,58,70,58,97,436,0
magnemite,3,60,65,electric,25,35,70,95,55,45,325,0
toxel,4,110,48,electric,40,38,35,54,35,40,242,0
kilowattrel,14,386,172,electric,70,70,60,105,60,125,490,0
toxtricity-amped,16,400,176,electric,75,98,70,114,70,75,502,0
magneton,10,600,163,electric,50,60,95,120,70,70,465,0
raichu,8,300,218,electric,60,90,55,90,80,110,485,0
stunfisk,7,110,165,ground,109,66,84,81,99,32,471,0
excadrill,7,404,178,ground,110,135,60,50,65,88,508,0
sandshrew,6,120,60,ground,50,75,85,20,30,40,300,0
diglett,2,8,53,ground,10,55,25,35,45,95,265,0
rhydon,19,1200,170,ground,105,130,120,45,45,40,485,0
marowak,10,450,149,ground,60,80,110,50,80,45,425,0
baltoy,5,215,60,ground,40,40,55,40,70,55,300,0
hippopotas,8,495,66,ground,68,72,78,38,42,32,330,0
toedscool,9,330,67,ground,40,40,35,50,100,70,335,0
rhyhorn,10,1150,69,ground,80,85,95,30,30,25,345,0
vibrava,11,153,119,ground,50,70,50,50,50,70,340,0
sandslash,10,295,158,ground,75,100,110,45,55,65,450,0
golurk,28,3300,169,ground,89,124,80,55,80,55,483,0
sandile,7,152,58,ground,50,72,35,35,35,65,292,0
clefairy,6,75,113,fairy,70,45,48,60,65,35,323,0
slurpuff,8,50,168,fairy,82,80,86,85,75,72,480,0
floette,2,9,130,fairy,54,45,47,75,98,52,371,0
milcery,2,3,54,fairy,45,40,40,50,61,34,270,0
spritzee,2,5,68,fairy,78,52,60,63,65,23,341,0
comfey,1,3,170,fairy,51,52,90,82,110,100,485,0
swirlix,4,35,68,fairy,62,48,66,59,57,49,341,0
dachsbun,5,149,167,fairy,57,80,115,50,80,95,477,0
tinkatuff,7,591,133,fairy,65,55,55,45,82,78,380,0
tinkatink,4,89,59,fairy,50,45,45,35,64,58,297,0
pangoro,21,1360,173,fighting,95,124,78,69,71,58,495,0
hawlucha,8,215,175,fighting,78,92,75,74,63,118,500,0
gurdurr,12,400,142,fighting,85,105,85,40,50,40,405,0
machamp,16,1300,227,fighting,90,130,80,65,85,55,505,0
hitmonchan,14,502,159,fighting,50,105,79,35,110,76,455,0
makuhita,10,864,47,fighting,72,60,30,20,30,25,237,0
clobbopus,6,40,62,fighting,50,68,60,50,50,32,310,0
primeape,10,320,159,fighting,65,105,60,60,70,95,455,0
sawk,14,510,163,fighting,75,125,75,30,75,85,465,0
throh,13,555,163,fighting,120,100,85,30,85,45,465,0
crabrawler,6,70,68,fighting,47,82,57,42,47,63,338,0
hariyama,23,2538,166,fighting,144,120,60,40,60,50,474,0
pancham,6,80,70,fighting,67,82,62,46,48,43,348,0
falinks,30,620,165,fighting,65,100,100,70,60,75,470,0
sirfetchd,8,1170,177,fighting,62,135,95,68,82,65,507,0
meowstic-male,6,85,163,psychic,74,48,76,83,81,104,466,0
cosmog,2,1,40,psychic,43,29,31,29,31,37,200,0
ralts,4,66,40,psychic,28,25,25,45,35,40,198,0
drowzee,10,324,66,psychic,60,48,45,43,90,42,328,0
espathra,19,900,168,psychic,95,60,60,101,60,105,481,0
mr-mime,13,545,161,psychic,40,45,65,100,120,90,460,0
kirlia,8,202,97,psychic,38,35,35,65,55,50,278,0
hypno,16,756,169,psychic,85,73,70,73,115,67,483,0
flittle,2,15,51,psychic,30,35,30,55,30,75,255,0
wynaut,6,140,52,psychic,95,23,48,23,48,23,260,0
spoink,7,306,66,psychic,60,25,35,70,80,60,330,0
indeedee-male,9,280,166,psychic,60,65,55,105,95,95,475,0
reuniclus,10,201,221,psychic,110,65,75,125,85,30,490,0
munna,6,233,58,psychic,76,25,45,67,55,24,292,0
xatu,15,150,165,psychic,65,75,70,95,70,95,470,0
duosion,6,80,130,psychic,65,40,50,125,60,30,370,0
musharna,11,605,170,psychic,116,55,85,107,95,29,487,0
kadabra,13,565,140,psychic,40,35,30,120,70,105,400,0
